meta,Genus,Species,Isolate N,Taxon,PC1,PC2,PC3,PC4,PC5
Rhoery44BHI18BC12,Rho,ery,44,Rho ery,1.8363791362106292,-0.21249433855258745,1.7579762794616072,1.5218630649879288,1.8995937437898331
Rhoery44BHI18BC13,Rho,ery,44,Rho ery,2.159703932473361,0.7735210774148846,2.9808317203197476,1.2531691879208224,1.6806667811333804
Rhoery45BHI18BC21,Rho,ery,45,Rho ery,-31.2913628795339,-0.9658943263753886,-3.3021087523948505,0.8249862831621533,-0.26777507591885985
Rhoery45BHI18BC22,Rho,ery,45,Rho ery,-22.946270042718634,-9.41527126528741,-6.642836696001103,5.82976880927962,0.24336305405323438
Rhoery45BHI18BC23,Rho,ery,45,Rho ery,-27.81560306294716,-5.3764898853188905,-5.101867371623362,4.005573868674468,0.02055113426821812
Rhoery45BHI18BC31,Rho,ery,45,Rho ery,4.617894131375093,5.515308953821305,1.9082012258946384,2.529679327800692,0.9745706047686362
Rhoery45BHI18BC32,Rho,ery,45,Rho ery,3.91391065000084,4.766071143634381,2.6624557290452007,3.734079937399234,1.5501451373455801
Rhoery45BHI18BC33,Rho,ery,45,Rho ery,2.051324874850297,1.7786098210790755,3.9246152763826534,1.201272792622358,2.182897858330652
Rhoery45BHI18BC11,Rho,ery,45,Rho ery,-35.69657289938259,6.234398461143955,-1.6912077949584916,-5.620614652773127,-3.333397824690529
Rhoery45BHI18BC12,Rho,ery,45,Rho ery,-34.861228709659784,4.549960208874898,-2.331462723803474,-4.211286027742529,-3.307810016012677
Rhoery45BHI18BC13,Rho,ery,45,Rho ery,-34.943219673077266,5.975579520435192,-1.6572134267602494,-5.37852808988222,-3.2699514325595547
Paeant38BHI18BC11,Pae,ant,38,Pae ant,0.9898652230371787,0.04727741892457118,2.2899386084643183,-1.5467525391263868,2.135065824820161
Paeant38BHI18BC12,Pae,ant,38,Pae ant,1.0296303621928078,-0.1415617305082453,2.592277328119078,-1.6263203636035022,2.2087376794787863
Paeant38BHI18BC13,Pae,ant,38,Pae ant,1.1533775053773316,0.13616419209316008,2.3234642616001957,-1.4565652336872015,2.135229277706494
Paeant38BHI18BC21,Pae,ant,38,Pae ant,2.0310404131547646,1.254552271341673,4.962315535273097,0.4947136039247733,3.0152191707135594
Paeant38BHI18BC22,Pae,ant,38,Pae ant,1.0188644630731343,-1.2346631537101802,5.2185631079689605,-1.747965109355209,2.0228591131429567
Paeant38BHI18BC23,Pae,ant,38,Pae ant,0.9812664364137935,-1.2304249216345584,4.920356027292797,-2.2023625956415995,2.227469869244357
Paeant38BHI18BC31,Pae,ant,38,Pae ant,1.8435099359592115,1.127530939017796,1.140182656066488,-0.9139418689593619,2.7970207594825793
Paeant38BHI18BC32,Pae,ant,38,Pae ant,2.7201335347284337,0.5662682655068448,2.276433898585175,-0.9542800382976201,2.4003701620495077
Paeant38BHI18BC33,Pae,ant,38,Pae ant,2.2125648958530557,-0.06620619481105898,2.6585373146145197,-1.1755843927299248,2.262881307229488
Polspp42BHI18BC11,Pol,spp,42,Pol spp,0.9983510558417941,3.9292697375272256,-4.424713027965814,1.4019425872459408,0.7900319357012426
Polspp42BHI18BC12,Pol,spp,42,Pol spp,0.9694702789669244,4.058837375713905,-4.889030344447912,1.518562865265715,1.1738052027516996
Polspp42BHI18BC13,Pol,spp,42,Pol spp,1.173252360175743,4.034405212243655,-4.426977754943155,1.3081221557015439,0.5582665674636147
Polspp42BHI18BC21,Pol,spp,42,Pol spp,7.297010044705826,15.177709184406577,-8.591035057079619,-11.655391226484218,-1.203224284792508
Polspp42BHI18BC22,Pol,spp,42,Pol spp,4.466530305621159,16.6347706808173,-8.810382096206904,1.7536851055879745,-3.7759024597098314
Polspp42BHI18BC23,Pol,spp,42,Pol spp,5.181120957012007,17.560232932591823,-9.136382760759886,-0.6481401631950902,-3.4405129996661
Polspp42BHI18BC31,Pol,spp,42,Pol spp,1.7422079478241794,4.581424307497072,-0.8414190697230782,2.4885034798690753,6.0012518693215755
Polspp42BHI18BC32,Pol,spp,42,Pol spp,1.6994499844708713,4.533901485443926,-1.0544808198564373,2.035033788676593,3.618975669734796
Polspp42BHI18BC33,Pol,spp,42,Pol spp,1.8826961503516755,4.673791688624262,-0.5537282432021172,2.248720902233391,5.707937045941547
Pseflu33BHI18BC21,Pse,flu,33,Pse flu,-17.754714088671474,-5.74114658624638,-10.921245239344803,7.7097237956901665,1.419143831473876
Pseflu33BHI18BC22,Pse,flu,33,Pse flu,-29.992927667805358,4.699987966140242,-5.575563455972072,-0.4430046649697823,0.6592152388300407
Pseflu33BHI18BC23,Pse,flu,33,Pse flu,2.6479438707449923,-13.52693079106274,-14.663046947187983,4.617860477016407,2.039171654403555
Pseflu33BHI18BC31,Pse,flu,33,Pse flu,-12.376320329190351,-9.321072059478174,-12.137217768492162,8.860286302993604,1.2032856175500217
Pseflu33BHI18BC32,Pse,flu,33,Pse flu,-4.400409512818498,-4.626982952829421,-10.75623612521007,2.4782572168530916,1.66192158023436
Pseflu33BHI18BC33,Pse,flu,33,Pse flu,-1.7058509472655066,-14.892015829742293,-14.735648390987684,8.090639095862041,1.312841156908255
Pseflu33BHI18BC11,Pse,flu,33,Pse flu,4.345060342012267,15.228601580454129,-10.87080457769567,-1.234965598810584,-7.105052767503912
Pseflu33BHI18BC12,Pse,flu,33,Pse flu,10.856149573525727,-11.851333827199534,-13.086685278959228,-7.3773315673470865,-1.1998632426152425
Pseflu33BHI18BC13,Pse,flu,33,Pse flu,10.372124761608712,-3.337481316052859,-10.733584827167261,-14.102513202874096,-1.5823284645794515
Pseant34BHI18BC21,Pse,ant,34,Pse ant,-6.2213063783909055,-10.611363831512866,-12.290810982385588,3.9748260518105423,1.9582259103859234
Pseant34BHI18BC22,Pse,ant,34,Pse ant,-34.6343434354137,10.349222976495865,-2.571620204946733,-5.455232546876845,-0.6473181026636042
Pseant34BHI18BC23,Pse,ant,34,Pse ant,-5.155184226164265,-9.863276442065057,-11.958177904523732,2.844774900164185,2.1881545486458625
Pseant35BHI18BC21,Pse,ant,35,Pse ant,11.231053075090765,-6.269125990433498,-11.940719424424001,-7.842083078367459,2.978508069274819
Pseant35BHI18BC22,Pse,ant,35,Pse ant,9.633870766553946,-11.781000585669151,-13.86791224132624,-3.4205870564520966,2.972431001220824
Pseant35BHI18BC23,Pse,ant,35,Pse ant,7.892138372478674,-14.134680447600521,-14.500998555946252,-0.7012010379385664,2.756959662368558
Psespp32BHI18BC11,Pse,spp,32,Pse spp,7.494404574402775,10.683579585473614,-9.487287040228003,-16.794980784496378,1.8130273089047917
Psespp32BHI18BC12,Pse,spp,32,Pse spp,8.756480753727523,6.3946055653999485,-10.054114994562282,-15.130304825342382,2.080006531270488
Psespp32BHI18BC13,Pse,spp,32,Pse spp,7.649874732941692,-10.146408995321487,-12.833836326389822,-6.233741528407307,2.7538515095906746
Psespp32BHI18BC21,Pse,spp,32,Pse spp,3.6064864185277474,9.949670364016438,-2.43606700426828,6.150657136872587,0.5469155963707466
Psespp32BHI18BC22,Pse,spp,32,Pse spp,3.6708394824378123,12.327915180082554,-5.911427988382062,9.136009669685903,-2.1839211319863843
Psespp32BHI18BC23,Pse,spp,32,Pse spp,3.7059385915209897,14.697541496450762,-8.130094880103709,9.095784107718185,-3.0422075667014745
Psespp32BHI18BC31,Pse,spp,32,Pse spp,3.3179998264863633,8.251449329325528,-0.8902824745487412,3.050418461743703,5.292489096712222
Psespp32BHI18BC32,Pse,spp,32,Pse spp,3.7727755062198503,9.140466020368372,-1.1818944521564527,3.2821453299169763,3.4527989753407167
Psespp32BHI18BC33,Pse,spp,32,Pse spp,3.1793383311500034,7.810839766776762,0.33788349444363514,2.086932277815657,5.406562427113191
Psespp17BHI18BC11,Pse,spp,17,Pse spp,-36.57600403210417,13.813308006183284,-0.798957240376042,-12.064552724036677,-0.3000727737749931
Psespp17BHI18BC12,Pse,spp,17,Pse spp,-29.615698328494354,2.9910054841935736,-5.597152429316501,-1.6171422600586736,1.557645873507827
Psespp17BHI18BC13,Pse,spp,17,Pse spp,-30.029995582133637,2.4062260373269315,-5.92114059442091,-0.5496130824657517,1.3401883405239936
Psespp17BHI18BC21,Pse,spp,17,Pse spp,5.619947211054818,-18.675588908807374,-15.595321656930707,3.2989239867861744,2.6534382659825506
Psespp17BHI18BC22,Pse,spp,17,Pse spp,-31.72814266067215,4.340006040920384,-4.786050280125704,-0.9815937691257829,1.3005190272321288
Psespp17BHI18BC23,Pse,spp,17,Pse spp,-2.25298318890167,-14.914410304614329,-12.974988419222676,4.780180778947545,3.080959597185472
Psespp17BHI18BC31,Pse,spp,17,Pse spp,1.8171516581501312,4.605693419951687,0.6152382592083548,0.5111903884358935,6.266958939404849
Psespp17BHI18BC32,Pse,spp,17,Pse spp,1.4922224498424728,4.520453440013021,0.4028069475973606,-0.5491018870301246,1.7409600446346503
Psespp17BHI18BC33,Pse,spp,17,Pse spp,1.1998009903284605,4.3500592339128055,-0.3478726051737289,-0.02973801018975805,3.128458489257265
Psespp34BHI18BC31,Pse,spp,34,Pse spp,0.6717923837707582,4.836907202971169,-3.8303850800064314,2.7486029040035116,3.678170268107807
Psespp34BHI18BC32,Pse,spp,34,Pse spp,0.7789381472683717,5.27374162303454,-4.443563656525632,1.2031227688892114,2.9373182165255916
Psespp34BHI18BC33,Pse,spp,34,Pse spp,0.7914297779839957,5.055199523025351,-3.8617952455445854,2.6336409869721407,3.6551801336254774
Psespp34BHI18BC11,Pse,spp,34,Pse spp,2.274243583217979,1.4890499687414713,-5.060391246592437,1.8022494209477284,-1.7130536802632457
Psespp34BHI18BC12,Pse,spp,34,Pse spp,2.048985934495062,1.2797823141807083,-4.8314822244144855,1.7783635030334044,-1.752548786558223
Psespp34BHI18BC13,Pse,spp,34,Pse spp,2.0219293234333096,2.2718183436890955,-4.510040418849416,2.077215888651965,-1.3371552956128367
Pseext35BHI18BC11,Pse,ext,35,Pse ext,10.483611721806257,-1.1698304862163704,-10.119896853275463,-15.327500639421908,2.524025466018783
Pseext35BHI18BC12,Pse,ext,35,Pse ext,7.8715891936379805,10.348173673242538,-9.022310879344863,-14.964608489906439,1.2906879629298673
Pseext35BHI18BC13,Pse,ext,35,Pse ext,8.553240631536045,8.70965572454952,-8.91909369791479,-16.81953782108398,1.7463039148013872
Pseext35BHI18BC31,Pse,ext,35,Pse ext,3.8319855909850307,14.635669614943982,-7.72631041228655,8.42882891034302,-2.1139271696267556
Pseext35BHI18BC32,Pse,ext,35,Pse ext,4.241692754703486,14.186491212108033,-5.993654026252446,4.741199371876286,-0.34864529008907974
Pseext35BHI18BC33,Pse,ext,35,Pse ext,4.4777718383509395,19.09448715685963,-9.966187703782813,-0.13086672915587622,-1.0447555485737354
Psever36BHI18BC11,Pse,ver,36,Pse ver,2.166654060574546,6.5491273513720225,-1.4005286529850915,3.120966200945171,2.8221454508532977
Psever36BHI18BC12,Pse,ver,36,Pse ver,2.6300712824294203,12.35135295687377,-5.804168046760397,4.551175636367208,-1.5556766079640816
Psever36BHI18BC13,Pse,ver,36,Pse ver,2.0987352442717557,7.396806998528701,-2.3999560989421806,4.184805793636119,0.9862345729337819
Psever36BHI18BC31,Pse,ver,36,Pse ver,1.4284908154265121,6.82292775089123,-6.518876139243136,1.1686113182110036,4.6769502499543565
